"","id","title","genre"
"1",19995,"Avatar","Action"
"2",19995,"Avatar","Adventure"
"3",19995,"Avatar","Fantasy"
"4",19995,"Avatar","Science Fiction"
"5",285,"Pirates of the Caribbean: At World's End","Adventure"
"6",285,"Pirates of the Caribbean: At World's End","Fantasy"
"7",285,"Pirates of the Caribbean: At World's End","Action"
"8",206647,"Spectre","Action"
"9",206647,"Spectre","Adventure"
"10",206647,"Spectre","Crime"
"11",49026,"The Dark Knight Rises","Action"
"12",49026,"The Dark Knight Rises","Crime"
"13",49026,"The Dark Knight Rises","Drama"
"14",49026,"The Dark Knight Rises","Thriller"
"15",49529,"John Carter","Action"
"16",49529,"John Carter","Adventure"
"17",49529,"John Carter","Science Fiction"
"18",559,"Spider-Man 3","Fantasy"
"19",559,"Spider-Man 3","Action"
"20",559,"Spider-Man 3","Adventure"
"21",38757,"Tangled","Animation"
"22",38757,"Tangled","Family"
"23",99861,"Avengers: Age of Ultron","Action"
"24",99861,"Avengers: Age of Ultron","Adventure"
"25",99861,"Avengers: Age of Ultron","Science Fiction"
"26",767,"Harry Potter and the Half-Blood Prince","Adventure"
"27",767,"Harry Potter and the Half-Blood Prince","Fantasy"
"28",767,"Harry Potter and the Half-Blood Prince","Family"
"29",209112,"Batman v Superman: Dawn of Justice","Action"
"30",209112,"Batman v Superman: Dawn of Justice","Adventure"
"31",209112,"Batman v Superman: Dawn of Justice","Fantasy"
"32",1452,"Superman Returns","Adventure"
"33",1452,"Superman Returns","Fantasy"
"34",1452,"Superman Returns","Action"
"35",1452,"Superman Returns","Science Fiction"
"36",10764,"Quantum of Solace","Adventure"
"37",10764,"Quantum of Solace","Action"
"38",10764,"Quantum of Solace","Thriller"
"39",10764,"Quantum of Solace","Crime"
"40",58,"Pirates of the Caribbean: Dead Man's Chest","Adventure"
"41",58,"Pirates of the Caribbean: Dead Man's Chest","Fantasy"
"42",58,"Pirates of the Caribbean: Dead Man's Chest","Action"
"43",57201,"The Lone Ranger","Action"
"44",57201,"The Lone Ranger","Adventure"
"45",57201,"The Lone Ranger","Western"
"46",49521,"Man of Steel","Action"
"47",49521,"Man of Steel","Adventure"
"48",49521,"Man of Steel","Fantasy"
"49",49521,"Man of Steel","Science Fiction"
"50",2454,"The Chronicles of Narnia: Prince Caspian","Adventure"
"51",2454,"The Chronicles of Narnia: Prince Caspian","Family"
"52",2454,"The Chronicles of Narnia: Prince Caspian","Fantasy"
"53",24428,"The Avengers","Science Fiction"
"54",24428,"The Avengers","Action"
"55",24428,"The Avengers","Adventure"
"56",1865,"Pirates of the Caribbean: On Stranger Tides","Adventure"
"57",1865,"Pirates of the Caribbean: On Stranger Tides","Action"
"58",1865,"Pirates of the Caribbean: On Stranger Tides","Fantasy"
"59",41154,"Men in Black 3","Action"
"60",41154,"Men in Black 3","Comedy"
"61",41154,"Men in Black 3","Science Fiction"
"62",122917,"The Hobbit: The Battle of the Five Armies","Action"
"63",122917,"The Hobbit: The Battle of the Five Armies","Adventure"
"64",122917,"The Hobbit: The Battle of the Five Armies","Fantasy"
"65",1930,"The Amazing Spider-Man","Action"
"66",1930,"The Amazing Spider-Man","Adventure"
"67",1930,"The Amazing Spider-Man","Fantasy"
"68",20662,"Robin Hood","Action"
"69",20662,"Robin Hood","Adventure"
"70",57158,"The Hobbit: The Desolation of Smaug","Adventure"
"71",57158,"The Hobbit: The Desolation of Smaug","Fantasy"
"72",2268,"The Golden Compass","Adventure"
"73",2268,"The Golden Compass","Fantasy"
"74",254,"King Kong","Adventure"
"75",254,"King Kong","Drama"
"76",254,"King Kong","Action"
"77",597,"Titanic","Drama"
"78",597,"Titanic","Romance"
"79",597,"Titanic","Thriller"
"80",271110,"Captain America: Civil War","Adventure"
"81",271110,"Captain America: Civil War","Action"
"82",271110,"Captain America: Civil War","Science Fiction"
"83",44833,"Battleship","Thriller"
"84",44833,"Battleship","Action"
"85",44833,"Battleship","Adventure"
"86",44833,"Battleship","Science Fiction"
"87",135397,"Jurassic World","Action"
"88",135397,"Jurassic World","Adventure"
"89",135397,"Jurassic World","Science Fiction"
"90",135397,"Jurassic World","Thriller"
"91",37724,"Skyfall","Action"
"92",37724,"Skyfall","Adventure"
"93",37724,"Skyfall","Thriller"
"94",558,"Spider-Man 2","Action"
"95",558,"Spider-Man 2","Adventure"
"96",558,"Spider-Man 2","Fantasy"
"97",68721,"Iron Man 3","Action"
"98",68721,"Iron Man 3","Adventure"
"99",68721,"Iron Man 3","Science Fiction"
"100",12155,"Alice in Wonderland","Family"
"101",12155,"Alice in Wonderland","Fantasy"
"102",12155,"Alice in Wonderland","Adventure"
"103",36668,"X-Men: The Last Stand","Adventure"
"104",36668,"X-Men: The Last Stand","Action"
"105",36668,"X-Men: The Last Stand","Science Fiction"
"106",36668,"X-Men: The Last Stand","Thriller"
"107",62211,"Monsters University","Animation"
"108",62211,"Monsters University","Family"
"109",8373,"Transformers: Revenge of the Fallen","Science Fiction"
"110",8373,"Transformers: Revenge of the Fallen","Action"
"111",8373,"Transformers: Revenge of the Fallen","Adventure"
"112",91314,"Transformers: Age of Extinction","Science Fiction"
"113",91314,"Transformers: Age of Extinction","Action"
"114",91314,"Transformers: Age of Extinction","Adventure"
"115",68728,"Oz: The Great and Powerful","Fantasy"
"116",68728,"Oz: The Great and Powerful","Adventure"
"117",68728,"Oz: The Great and Powerful","Family"
"118",102382,"The Amazing Spider-Man 2","Action"
"119",102382,"The Amazing Spider-Man 2","Adventure"
"120",102382,"The Amazing Spider-Man 2","Fantasy"
"121",20526,"TRON: Legacy","Adventure"
"122",20526,"TRON: Legacy","Action"
"123",20526,"TRON: Legacy","Science Fiction"
"124",49013,"Cars 2","Animation"
"125",49013,"Cars 2","Family"
"126",49013,"Cars 2","Adventure"
"127",49013,"Cars 2","Comedy"
"128",44912,"Green Lantern","Adventure"
"129",44912,"Green Lantern","Action"
"130",44912,"Green Lantern","Thriller"
"131",44912,"Green Lantern","Science Fiction"
"132",10193,"Toy Story 3","Animation"
"133",10193,"Toy Story 3","Family"
"134",10193,"Toy Story 3","Comedy"
"135",534,"Terminator Salvation","Action"
"136",534,"Terminator Salvation","Science Fiction"
"137",534,"Terminator Salvation","Thriller"
"138",168259,"Furious 7","Action"
"139",72190,"World War Z","Action"
"140",72190,"World War Z","Drama"
"141",72190,"World War Z","Horror"
"142",72190,"World War Z","Science Fiction"
"143",72190,"World War Z","Thriller"
"144",127585,"X-Men: Days of Future Past","Action"
"145",127585,"X-Men: Days of Future Past","Adventure"
"146",127585,"X-Men: Days of Future Past","Fantasy"
"147",127585,"X-Men: Days of Future Past","Science Fiction"
"148",54138,"Star Trek Into Darkness","Action"
"149",54138,"Star Trek Into Darkness","Adventure"
"150",54138,"Star Trek Into Darkness","Science Fiction"
"151",81005,"Jack the Giant Slayer","Action"
"152",81005,"Jack the Giant Slayer","Family"
"153",81005,"Jack the Giant Slayer","Fantasy"
"154",64682,"The Great Gatsby","Drama"
"155",64682,"The Great Gatsby","Romance"
"156",9543,"Prince of Persia: The Sands of Time","Adventure"
"157",9543,"Prince of Persia: The Sands of Time","Fantasy"
"158",9543,"Prince of Persia: The Sands of Time","Action"
"159",9543,"Prince of Persia: The Sands of Time","Romance"
"160",68726,"Pacific Rim","Action"
"161",68726,"Pacific Rim","Science Fiction"
"162",68726,"Pacific Rim","Adventure"
"163",38356,"Transformers: Dark of the Moon","Action"
"164",38356,"Transformers: Dark of the Moon","Science Fiction"
"165",38356,"Transformers: Dark of the Moon","Adventure"
"166",217,"Indiana Jones and the Kingdom of the Crystal Skull","Adventure"
"167",217,"Indiana Jones and the Kingdom of the Crystal Skull","Action"
"168",105864,"The Good Dinosaur","Adventure"
"169",105864,"The Good Dinosaur","Animation"
"170",105864,"The Good Dinosaur","Family"
"171",62177,"Brave","Animation"
"172",62177,"Brave","Adventure"
