"","id","title","keyword"
"1",19995,"Avatar","culture clash"
"2",19995,"Avatar","future"
"3",19995,"Avatar","space war"
"4",19995,"Avatar","space colony"
"5",19995,"Avatar","society"
"6",19995,"Avatar","space travel"
"7",19995,"Avatar","futuristic"
"8",19995,"Avatar","romance"
"9",19995,"Avatar","space"
"10",19995,"Avatar","alien"
"11",19995,"Avatar","tribe"
"12",19995,"Avatar","alien planet"
"13",19995,"Avatar","cgi"
"14",19995,"Avatar","marine"
"15",19995,"Avatar","soldier"
"16",19995,"Avatar","battle"
"17",19995,"Avatar","love affair"
"18",19995,"Avatar","anti war"
"19",19995,"Avatar","power relations"
"20",19995,"Avatar","mind and soul"
"21",19995,"Avatar","3d"
"22",285,"Pirates of the Caribbean: At World's End","ocean"
"23",285,"Pirates of the Caribbean: At World's End","drug abuse"
"24",285,"Pirates of the Caribbean: At World's End","exotic island"
"25",285,"Pirates of the Caribbean: At World's End","east india trading company"
"26",285,"Pirates of the Caribbean: At World's End","love of one's life"
"27",285,"Pirates of the Caribbean: At World's End","traitor"
"28",285,"Pirates of the Caribbean: At World's End","shipwreck"
"29",285,"Pirates of the Caribbean: At World's End","strong woman"
"30",285,"Pirates of the Caribbean: At World's End","ship"
"31",285,"Pirates of the Caribbean: At World's End","alliance"
"32",285,"Pirates of the Caribbean: At World's End","calypso"
"33",285,"Pirates of the Caribbean: At World's End","afterlife"
"34",285,"Pirates of the Caribbean: At World's End","fighter"
"35",285,"Pirates of the Caribbean: At World's End","pirate"
"36",285,"Pirates of the Caribbean: At World's End","swashbuckler"
"37",285,"Pirates of the Caribbean: At World's End","aftercreditsstinger"
"38",206647,"Spectre","spy"
"39",206647,"Spectre","based on novel"
"40",206647,"Spectre","secret agent"
"41",206647,"Spectre","sequel"
"42",206647,"Spectre","mi6"
"43",206647,"Spectre","british secret service"
"44",206647,"Spectre","united kingdom"
"45",49026,"The Dark Knight Rises","dc comics"
"46",49026,"The Dark Knight Rises","crime fighter"
